Gene stable ID,Mouse gene stable ID,Mouse gene name,Gene name
ENSMOCG00000000001,,,
ENSMOCG00000000002,,,
ENSMOCG00000000003,,,
ENSMOCG00000000004,,,
ENSMOCG00000000005,,,
ENSMOCG00000000006,ENSMUSG00000064341,mt-Nd1,ND1
ENSMOCG00000000007,,,
ENSMOCG00000000008,,,
ENSMOCG00000000009,,,
ENSMOCG00000000010,ENSMUSG00000064345,mt-Nd2,ND2
ENSMOCG00000000011,,,
ENSMOCG00000000012,,,
ENSMOCG00000000013,,,
ENSMOCG00000000014,,,
ENSMOCG00000000015,,,
ENSMOCG00000000016,ENSMUSG00000064351,mt-Co1,COX1
ENSMOCG00000000017,,,
ENSMOCG00000000018,,,
ENSMOCG00000000019,ENSMUSG00000064354,mt-Co2,COX2
ENSMOCG00000000020,,,
ENSMOCG00000000021,ENSMUSG00000064356,mt-Atp8,ATP8
ENSMOCG00000000022,ENSMUSG00000064357,mt-Atp6,ATP6
ENSMOCG00000000023,ENSMUSG00000064358,mt-Co3,COX3
ENSMOCG00000000024,,,
ENSMOCG00000000025,ENSMUSG00000064360,mt-Nd3,ND3
ENSMOCG00000000026,,,
ENSMOCG00000000027,ENSMUSG00000065947,mt-Nd4l,ND4L
ENSMOCG00000000028,ENSMUSG00000064363,mt-Nd4,ND4
ENSMOCG00000000029,,,
ENSMOCG00000000030,,,
ENSMOCG00000000031,,,
ENSMOCG00000000032,ENSMUSG00000064367,mt-Nd5,ND5
ENSMOCG00000000033,ENSMUSG00000064368,mt-Nd6,ND6
ENSMOCG00000000034,,,
ENSMOCG00000000035,ENSMUSG00000064370,mt-Cytb,CYTB
ENSMOCG00000000036,,,
ENSMOCG00000000037,,,
ENSMOCG00000000038,ENSMUSG00000096824,Ighv2-7,
ENSMOCG00000000039,ENSMUSG00000006273,Atp6v1b2,Atp6v1b2
ENSMOCG00000000040,,,
ENSMOCG00000000041,,,
ENSMOCG00000000042,ENSMUSG00000074952,Olfr1308,
ENSMOCG00000000043,ENSMUSG00000078813,Leng1,Leng1
ENSMOCG00000000044,ENSMUSG00000079432,Gm15023,
ENSMOCG00000000044,ENSMUSG00000054994,AV320801,
ENSMOCG00000000044,ENSMUSG00000067360,Pramel3,
ENSMOCG00000000044,ENSMUSG00000096508,Gm7903,
ENSMOCG00000000044,ENSMUSG00000094004,Gm5128,
ENSMOCG00000000045,ENSMUSG00000069516,Lyz2,
ENSMOCG00000000045,ENSMUSG00000069515,Lyz1,
ENSMOCG00000000046,ENSMUSG00000000157,Itgb2l,Itgb2l
ENSMOCG00000000047,ENSMUSG00000095586,Olfr1287,
ENSMOCG00000000047,ENSMUSG00000096703,Olfr1286,
ENSMOCG00000000047,ENSMUSG00000109322,Olfr1283,
ENSMOCG00000000047,ENSMUSG00000096554,Olfr1282,
ENSMOCG00000000047,ENSMUSG00000095156,Olfr1281,
ENSMOCG00000000047,ENSMUSG00000109449,Olfr1280,
ENSMOCG00000000048,ENSMUSG00000036782,Klhl13,Klhl13
ENSMOCG00000000049,ENSMUSG00000025821,Zfp282,Zfp282
ENSMOCG00000000050,ENSMUSG00000024207,Acsbg2,Acsbg2
ENSMOCG00000000051,ENSMUSG00000030431,Tmem238,Tmem238
ENSMOCG00000000052,ENSMUSG00000060621,Nkpd1,Nkpd1
ENSMOCG00000000053,,,
ENSMOCG00000000054,ENSMUSG00000032475,Nck1,Nck1
ENSMOCG00000000055,ENSMUSG00000028138,Adh5,
ENSMOCG00000000056,ENSMUSG00000073139,Tmem185a,Tmem185a
ENSMOCG00000000057,,,
ENSMOCG00000000058,ENSMUSG00000056972,Magel2,Magel2
ENSMOCG00000000059,ENSMUSG00000056155,Nanos3,Nanos3
ENSMOCG00000000060,ENSMUSG00000021773,Comtd1,Comtd1
ENSMOCG00000000061,ENSMUSG00000025894,Aasdhppt,Aasdhppt
ENSMOCG00000000062,ENSMUSG00000021880,Rnase6,Rnase6
ENSMOCG00000000063,ENSMUSG00000042595,Fam199x,Fam199x
ENSMOCG00000000064,ENSMUSG00000042116,Vwa1,Vwa1
ENSMOCG00000000065,ENSMUSG00000038508,Gdf15,Gdf15
ENSMOCG00000000066,ENSMUSG00000031740,Mmp2,Mmp2
ENSMOCG00000000067,ENSMUSG00000030199,Etv6,Etv6
ENSMOCG00000000068,ENSMUSG00000039783,Kmo,Kmo
ENSMOCG00000000069,ENSMUSG00000057400,Ces1c,
ENSMOCG00000000069,ENSMUSG00000078964,Ces1b,
ENSMOCG00000000070,ENSMUSG00000025665,Rps6ka6,Rps6ka6
ENSMOCG00000000071,ENSMUSG00000116594,Gm49601,
ENSMOCG00000000071,ENSMUSG00000072214,Septin5,
ENSMOCG00000000072,ENSMUSG00000034820,Cpsf7,Cpsf7
ENSMOCG00000000073,ENSMUSG00000096824,Ighv2-7,
ENSMOCG00000000074,ENSMUSG00000014601,Strip1,Strip1
ENSMOCG00000000075,ENSMUSG00000032413,Rasa2,Rasa2
ENSMOCG00000000076,ENSMUSG00000026687,Aldh9a1,Aldh9a1
ENSMOCG00000000077,ENSMUSG00000027896,Slc16a4,Slc16a4
ENSMOCG00000000078,ENSMUSG00000020434,4921536K21Rik,4921536K21Rik
ENSMOCG00000000079,ENSMUSG00000008307,1700109H08Rik,1700109H08Rik
ENSMOCG00000000080,ENSMUSG00000073967,Olfr557,Olfr557
ENSMOCG00000000081,ENSMUSG00000030247,Kcnj8,Kcnj8
ENSMOCG00000000082,ENSMUSG00000031402,Mpp1,Mpp1
ENSMOCG00000000083,ENSMUSG00000040274,Cdk6,Cdk6
ENSMOCG00000000084,ENSMUSG00000059355,Wdr83os,Wdr83os
ENSMOCG00000000085,ENSMUSG00000040351,Ankib1,Ankib1
ENSMOCG00000000086,ENSMUSG00000051650,B3gnt2,B3gnt2
ENSMOCG00000000087,ENSMUSG00000014498,Ankrd52,Ankrd52
ENSMOCG00000000088,ENSMUSG00000037260,Hgsnat,Hgsnat
ENSMOCG00000000089,ENSMUSG00000006784,Ttc25,Ttc25
ENSMOCG00000000090,,,
ENSMOCG00000000091,ENSMUSG00000056429,Tgoln1,
ENSMOCG00000000092,ENSMUSG00000025666,Tmem47,Tmem47
ENSMOCG00000000093,ENSMUSG00000048379,Socs4,Socs4
ENSMOCG00000000094,ENSMUSG00000035045,Zc3h12b,Zc3h12b
ENSMOCG00000000095,ENSMUSG00000055660,Mettl4,
ENSMOCG00000000096,ENSMUSG00000057143,Trim12c,
ENSMOCG00000000096,ENSMUSG00000060441,Trim5,
ENSMOCG00000000096,ENSMUSG00000066258,Trim12a,
ENSMOCG00000000097,ENSMUSG00000096824,Ighv2-7,
ENSMOCG00000000098,ENSMUSG00000049692,Tmem239,Tmem239
ENSMOCG00000000099,ENSMUSG00000050947,Amigo1,Amigo1
ENSMOCG00000000100,ENSMUSG00000045691,Thtpa,Thtpa
ENSMOCG00000000101,ENSMUSG00000026315,Serpinb8,Serpinb8
ENSMOCG00000000102,ENSMUSG00000030471,Zdhhc13,Zdhhc13
ENSMOCG00000000103,ENSMUSG00000004285,Atp6v1f,
ENSMOCG00000000104,ENSMUSG00000026527,Rgs7,Rgs7
ENSMOCG00000000105,ENSMUSG00000021840,Mapk1ip1l,Mapk1ip1l
ENSMOCG00000000106,ENSMUSG00000032875,Arhgef17,
ENSMOCG00000000107,ENSMUSG00000109572,Cfap99,Cfap99
ENSMOCG00000000108,ENSMUSG00000038079,Tmem237,Tmem237
ENSMOCG00000000109,,,
ENSMOCG00000000110,ENSMUSG00000037759,Ptger2,Ptger2
ENSMOCG00000000111,ENSMUSG00000027715,Ccna2,Ccna2
ENSMOCG00000000112,ENSMUSG00000028932,Psmc2,
ENSMOCG00000000113,ENSMUSG00000033059,Pygb,Pygb
ENSMOCG00000000114,ENSMUSG00000016382,Pls3,Pls3
ENSMOCG00000000115,ENSMUSG00000046491,C1qtnf2,C1qtnf2
ENSMOCG00000000116,ENSMUSG00000022738,Gsc2,Gsc2
ENSMOCG00000000117,ENSMUSG00000030036,Mogs,Mogs
ENSMOCG00000000118,,,
ENSMOCG00000000119,,,
ENSMOCG00000000120,,,
ENSMOCG00000000121,,,
ENSMOCG00000000122,ENSMUSG00000049553,Polr1a,Polr1a
ENSMOCG00000000123,,,
ENSMOCG00000000124,ENSMUSG00000038212,Mfsd14b,Mfsd14b
ENSMOCG00000000125,ENSMUSG00000031667,Aktip,Aktip
ENSMOCG00000000126,ENSMUSG00000073964,Olfr570,Olfr570
ENSMOCG00000000127,ENSMUSG00000071356,Reg3b,Reg3b
ENSMOCG00000000128,,,
ENSMOCG00000000129,ENSMUSG00000042099,Kank3,
ENSMOCG00000000130,ENSMUSG00000042992,Borcs5,Borcs5
ENSMOCG00000000131,ENSMUSG00000024053,Emilin2,Emilin2
ENSMOCG00000000132,ENSMUSG00000044145,1810024B03Rik,1810024B03Rik
ENSMOCG00000000133,ENSMUSG00000027584,Oprl1,Oprl1
ENSMOCG00000000134,ENSMUSG00000073062,Zxdb,Zxdb
ENSMOCG00000000135,ENSMUSG00000025929,Il17a,Il17a
ENSMOCG00000000136,ENSMUSG00000068744,Psrc1,Psrc1
ENSMOCG00000000137,ENSMUSG00000047747,Rnf150,Rnf150
ENSMOCG00000000138,ENSMUSG00000003208,Yju2,
ENSMOCG00000000139,ENSMUSG00000041617,Ccdc74a,Ccdc74a
ENSMOCG00000000140,ENSMUSG00000045555,Mettl24,Mettl24
ENSMOCG00000000141,ENSMUSG00000092417,Gpank1,Gpank1
ENSMOCG00000000142,ENSMUSG00000049191,Rtl5,Rtl5
ENSMOCG00000000143,ENSMUSG00000032372,Plscr2,Plscr2
ENSMOCG00000000144,ENSMUSG00000037526,Atg14,Atg14
ENSMOCG00000000145,ENSMUSG00000020137,Thap2,Thap2
ENSMOCG00000000146,ENSMUSG00000051235,Gen1,Gen1
ENSMOCG00000000147,ENSMUSG00000021709,Erbin,Erbin
ENSMOCG00000000148,ENSMUSG00000029547,Ints1,Ints1
ENSMOCG00000000149,ENSMUSG00000029015,Slc26a5,Slc26a5
ENSMOCG00000000150,ENSMUSG00000057691,Zfp746,Zfp746
ENSMOCG00000000151,,,
ENSMOCG00000000152,ENSMUSG00000052707,Tnrc6a,Tnrc6a
ENSMOCG00000000153,ENSMUSG00000024197,Plin3,Plin3
ENSMOCG00000000154,ENSMUSG00000004892,Bcan,Bcan
ENSMOCG00000000155,ENSMUSG00000019920,Lims1,Lims1
ENSMOCG00000000156,ENSMUSG00000094692,Olfr738,Olfr738
ENSMOCG00000000157,ENSMUSG00000015672,Mrpl32,Mrpl32
ENSMOCG00000000158,ENSMUSG00000025658,Cnksr2,Cnksr2
ENSMOCG00000000159,ENSMUSG00000056487,Mettl7a2,
ENSMOCG00000000159,ENSMUSG00000058057,Mettl7a3,
ENSMOCG00000000159,ENSMUSG00000093789,Methig1,
ENSMOCG00000000159,ENSMUSG00000054619,Mettl7a1,
ENSMOCG00000000160,ENSMUSG00000059343,Aldoart1,
ENSMOCG00000000161,,,
ENSMOCG00000000162,ENSMUSG00000040570,Rundc3b,Rundc3b
ENSMOCG00000000163,ENSMUSG00000041649,Klf8,Klf8
ENSMOCG00000000164,ENSMUSG00000028889,Yrdc,
ENSMOCG00000000165,ENSMUSG00000036461,Elf1,Elf1
ENSMOCG00000000166,ENSMUSG00000039728,Slc6a5,Slc6a5
ENSMOCG00000000167,ENSMUSG00000020308,Tpgs1,Tpgs1
ENSMOCG00000000168,ENSMUSG00000079432,Gm15023,
ENSMOCG00000000168,ENSMUSG00000054994,AV320801,
ENSMOCG00000000168,ENSMUSG00000067360,Pramel3,
ENSMOCG00000000168,ENSMUSG00000096508,Gm7903,
ENSMOCG00000000168,ENSMUSG00000094004,Gm5128,
ENSMOCG00000000169,ENSMUSG00000052676,Zmat1,Zmat1
ENSMOCG00000000170,ENSMUSG00000004043,Stat5a,Stat5a
ENSMOCG00000000171,ENSMUSG00000066268,Olfr586,Olfr586
ENSMOCG00000000172,ENSMUSG00000078994,Zfp429,
ENSMOCG00000000172,ENSMUSG00000058900,Rsl1,
ENSMOCG00000000172,ENSMUSG00000078995,Zfp456,
ENSMOCG00000000172,ENSMUSG00000051037,Zfp455,
ENSMOCG00000000173,ENSMUSG00000034245,Hdac11,Hdac11
ENSMOCG00000000174,ENSMUSG00000063808,Gpatch1,Gpatch1
ENSMOCG00000000175,ENSMUSG00000086784,Isoc2a,Isoc2a
ENSMOCG00000000176,ENSMUSG00000040848,Sft2d2,Sft2d2
ENSMOCG00000000177,ENSMUSG00000037894,H2az1,
ENSMOCG00000000178,ENSMUSG00000039206,Daglb,Daglb
ENSMOCG00000000179,ENSMUSG00000063268,Parp10,Parp10
ENSMOCG00000000180,ENSMUSG00000042225,Ammecr1,Ammecr1
ENSMOCG00000000181,ENSMUSG00000039242,B3galnt2,B3galnt2
ENSMOCG00000000182,ENSMUSG00000028076,Cd1d1,
ENSMOCG00000000182,ENSMUSG00000041750,Cd1d2,
ENSMOCG00000000183,ENSMUSG00000002897,Il17ra,Il17ra
ENSMOCG00000000184,ENSMUSG00000008475,Arpc5,
ENSMOCG00000000185,,,
ENSMOCG00000000186,ENSMUSG00000023249,Parp3,Parp3
ENSMOCG00000000187,ENSMUSG00000021614,Vcan,
ENSMOCG00000000188,,,
ENSMOCG00000000189,ENSMUSG00000008859,Rala,Rala
ENSMOCG00000000190,ENSMUSG00000009876,Cox4i2,Cox4i2
ENSMOCG00000000191,ENSMUSG00000007653,Gabrb2,Gabrb2
ENSMOCG00000000192,ENSMUSG00000031250,Tnmd,Tnmd
ENSMOCG00000000193,ENSMUSG00000070420,Zscan25,Zscan25
ENSMOCG00000000194,ENSMUSG00000044465,Fam160a2,Fam160a2
ENSMOCG00000000195,ENSMUSG00000047592,Nxpe5,
ENSMOCG00000000196,ENSMUSG00000030120,Mlf2,
ENSMOCG00000000197,ENSMUSG00000044206,Vsig4,Vsig4
ENSMOCG00000000198,ENSMUSG00000030244,Gys2,Gys2
ENSMOCG00000000199,ENSMUSG00000034041,Lyl1,Lyl1
ENSMOCG00000000200,ENSMUSG00000031229,Atrx,
ENSMOCG00000000201,ENSMUSG00000031886,Ces2e,Ces2e
ENSMOCG00000000202,ENSMUSG00000039477,Tnrc18,Tnrc18
ENSMOCG00000000203,ENSMUSG00000021577,Sdha,Sdha
ENSMOCG00000000204,ENSMUSG00000057667,Bloc1s3,Bloc1s3
ENSMOCG00000000205,ENSMUSG00000015702,Anxa9,Anxa9
ENSMOCG00000000206,ENSMUSG00000074203,G430095P16Rik,
ENSMOCG00000000207,,,
ENSMOCG00000000208,ENSMUSG00000025574,Tk1,
ENSMOCG00000000209,ENSMUSG00000044792,Isca1,
ENSMOCG00000000209,ENSMUSG00000078139,AK157302,
ENSMOCG00000000210,ENSMUSG00000031931,Ankrd49,Ankrd49
ENSMOCG00000000211,ENSMUSG00000094500,Smim18,Smim18
ENSMOCG00000000212,ENSMUSG00000042210,Abhd14a,Abhd14a
ENSMOCG00000000213,ENSMUSG00000014856,Tmem208,
ENSMOCG00000000214,ENSMUSG00000028030,Tbck,Tbck
ENSMOCG00000000215,ENSMUSG00000090112,Shprh,
ENSMOCG00000000216,ENSMUSG00000022096,Hr,Hr
ENSMOCG00000000217,,,
ENSMOCG00000000218,,,
ENSMOCG00000000219,ENSMUSG00000020090,Npffr1,Npffr1
ENSMOCG00000000220,ENSMUSG00000056413,Adap1,Adap1
ENSMOCG00000000221,ENSMUSG00000026748,Plxdc2,Plxdc2
ENSMOCG00000000222,ENSMUSG00000048775,Serpinb13,Serpinb13
ENSMOCG00000000223,ENSMUSG00000053565,Eif3k,Eif3k
ENSMOCG00000000224,ENSMUSG00000018541,Cwc25,Cwc25
ENSMOCG00000000225,,,
ENSMOCG00000000226,ENSMUSG00000079299,Klrb1,
ENSMOCG00000000226,ENSMUSG00000030154,Klrb1f,
ENSMOCG00000000227,,,
ENSMOCG00000000228,ENSMUSG00000030051,Aplf,Aplf
ENSMOCG00000000229,ENSMUSG00000024174,Pot1b,Pot1b
