"genes" "Transcript.length..including.UTRs.and.CDS."
"1" "ENSMOCG00000000001" 66
"2" "ENSMOCG00000000002" 949
"3" "ENSMOCG00000000003" 70
"4" "ENSMOCG00000000004" 1520
"5" "ENSMOCG00000000005" 75
"6" "ND1" 955
"7" "ENSMOCG00000000007" 69
"8" "ENSMOCG00000000008" 72
"9" "ENSMOCG00000000009" 69
"10" "ND2" 1035
"11" "ENSMOCG00000000011" 67
"12" "ENSMOCG00000000012" 69
"13" "ENSMOCG00000000013" 70
"14" "ENSMOCG00000000014" 68
"15" "ENSMOCG00000000015" 67
"16" "COX1" 1545
"17" "ENSMOCG00000000017" 69
"18" "ENSMOCG00000000018" 68
"19" "COX2" 684
"20" "ENSMOCG00000000020" 64
"21" "ATP8" 204
"22" "ATP6" 681
"23" "COX3" 784
"24" "ENSMOCG00000000024" 68
"25" "ND3" 348
"26" "ENSMOCG00000000026" 67
"27" "ND4L" 297
"28" "ND4" 1378
"29" "ENSMOCG00000000029" 66
"30" "ENSMOCG00000000030" 58
"31" "ENSMOCG00000000031" 70
"32" "ND5" 1812
"33" "ND6" 525
"34" "ENSMOCG00000000034" 69
"35" "CYTB" 1143
"36" "ENSMOCG00000000036" 69
"37" "ENSMOCG00000000037" 68
"38" "ENSMOCG00000000038" 330
"39" "Atp6v1b2" 2893
"40" "ENSMOCG00000000040" 321
"41" "ENSMOCG00000000041" 807
"42" "ENSMOCG00000000042" 828
"43" "Leng1" 1247
"44" "ENSMOCG00000000044" 1410
"45" "ENSMOCG00000000045" 1333
"46" "Itgb2l" 2409
"47" "ENSMOCG00000000047" 876
"48" "Klhl13" 3950
"49" "Zfp282" 4162
"50" "Acsbg2" 2021
"51" "Tmem238" 896
"52" "Nkpd1" 2469
"53" "ENSMOCG00000000053" 1386
"54" "Nck1" 1770
"55" "ENSMOCG00000000055" 987
"56" "Tmem185a" 1576
"57" "ENSMOCG00000000057" 989
"58" "Magel2" 3738
"59" "Nanos3" 534
"60" "Comtd1" 915
"61" "Aasdhppt" 2635
"62" "Rnase6" 926
"63" "Fam199x" 1471
"64" "Vwa1" 1360
"65" "Gdf15" 1033
"66" "Mmp2" 3069
"67" "Etv6" 1353
"68" "Kmo" 3399
"69" "ENSMOCG00000000069" 1638
"70" "Rps6ka6" 2583
"71" "ENSMOCG00000000071" 2136
"72" "Cpsf7" 3578
"73" "ENSMOCG00000000073" 375
"74" "Strip1" 3199
"75" "Rasa2" 4207
"76" "Aldh9a1" 2043
"77" "Slc16a4" 2186
"78" "4921536K21Rik" 606
"79" "1700109H08Rik" 1052
"80" "Olfr557" 981
"81" "Kcnj8" 2034
"82" "Mpp1" 2270
"83" "Cdk6" 1720
"84" "Wdr83os" 908
"85" "Ankib1" 5985
"86" "B3gnt2" 2795
"87" "Ankrd52" 5752
"88" "Hgsnat" 2094
"89" "Ttc25" 1863
"90" "ENSMOCG00000000090" 663
"91" "ENSMOCG00000000091" 957
"92" "Tmem47" 3916
"93" "Socs4" 2792
"94" "Zc3h12b" 4450
"95" "ENSMOCG00000000095" 1983
"96" "ENSMOCG00000000096" 1856
"97" "ENSMOCG00000000097" 468
"98" "Tmem239" 524
"99" "Amigo1" 2015
"100" "Thtpa" 3226
"101" "Serpinb8" 2054
"102" "Zdhhc13" 1869
"103" "ENSMOCG00000000103" 687
"104" "Rgs7" 1410
"105" "Mapk1ip1l" 3447
"106" "ENSMOCG00000000106" 3135
"107" "Cfap99" 1978
"108" "Tmem237" 1176
"109" "ENSMOCG00000000109" 324
"110" "Ptger2" 1089
"111" "Ccna2" 1101
"112" "ENSMOCG00000000112" 1260
"113" "Pygb" 4004
"114" "Pls3" 3113
